2015年 03月 02日 星期一 14:53:28 CST
%Cpu(s):  4.0 us,  1.2 sy,  0.2 ni, 89.4 id,  5.2 wa,  0.0 hi,  0.0 si,  0.0 st
PID    USER  PR  NI  VIRT     RES     SHR    S  %CPU  %MEM  TIME+    COMMAND
1608   ht    20  0   667904   39060   7856   S  6.4   1.0   0:06.72  hud-service
1614   ht    20  0   519892   24072   8864   S  6.4   0.6   0:10.59  unity-pane+
1849   ht    20  0   1559028  41580   20748  S  6.4   1.0   0:20.95  nautilus
2798   ht    20  0   1565856  78760   34868  S  6.4   2.0   5:26.78  kwplayer
1005   root  20  0   75352    2496    1552   S  0.0   0.1   0:00.02  cups-brows+
100    root  20  0   0        0       0      S  0.0   0.0   0:03.84  kworker/2:1
1013   root  20  0   19188    716     488    S  0.0   0.0   0:01.21  irqbalance
10567  ht    20  0   1203904  233840  45456  S  0.0   5.9   1:36.22  chrome
1080   root  20  0   20016    784     628    S  0.0   0.0   0:00.00  getty
1096   root  20  0   351620   3244    2528   S  0.0   0.1   0:00.21  lightdm
=======================================================================================
